	generation	response	condition	0	1	2
0	0	Most people in the past didn't die from heart disease because they didn't live long enough to develop it. Alexander Fleming developed Penicillin in 1928. It saved between 12-15% of soldiers' lives in World War II. The golden age is coming to an end. Antibiotic resistance causes superbugs that respond to two, one or even none of the hundred antibiotics we have. By 2050 it could claim 10 million lives, more than the population of New York City.	chain	0.697985053062439	0.2850642800331116	0.01695070043206215
1	0	"Early on many people did not die of heart disease or strokes or anything, they died because of infections. Most everybody that got injured eventually got an infection and died. In the early 1900s, Alexander Fleming discovered penicillin and that it would fight most bacterial infections. Pencil has saved many lives. However, it comes with its own set of problems. Over the years viruses have mutated and have become immune to many antibiotics they are called ""superbugs"". So we create stronger antibiotics and then the superbugs become even stronger. This goes back-and-forth until sometime in the future, the bacteria will win. Heavy use of antibiotics in livestock also increases our resistance to the very antibiotics that are supposed to help us."	chain	0.26020386815071106	0.5473108291625977	0.1924852728843689
2	0	In the old days, people didn't die of cancer or heart disease or other modern illnesses because they didn't live long enough. They died from being gored by an ox or mangled by a wagon accident and the resulting infection.  Then penicillin was discovered in 1927 and infections no longer killed people. But over time, bacteria have become resistant to penicillin and the derivatives that pharmaceutical companies research and develop. And the bacteria are evolving faster than the researchers can keep up with. So now, people are once again dying from infections for which we have no cure. And the pace is increasing. If we don't address the issue and stop over-using antibiotics by 2050, more people will die from infections than the entire population of NYC.	chain	0.9719527363777161	0.013822630047798157	0.014224671758711338
3	0	In the past people didn't die of the diseases that are common today.  They didn't live long enough to develop them.  They died of an injury or an infection.  That changed when antibiotics were discovered by Alexander Fleming.  Now infections that were once a death sentence were no longer that.  Now people are dying again because of antibiotic resistance.  For years we played a game of trying to find drugs to treat these diseases and fight the resistance.  It seems overwhelming to deal with antibiotic resistance but you have to keep taking steps to address it.	chain	0.9702619314193726	0.014979490078985691	0.014758544974029064
4	0	"While antibiotics have been used to fight bacterial infections for 90 years, their effectiveness may be coming to an end. ""Superbugs"" are developing that are more resistant to traditional antibiotics.  If we want to maximize the effective ness of antibiotics we can do things like not eat meats or vegetables that have been treated with antibiotics. "	chain	0.03571414202451706	0.5804105997085571	0.3838752806186676
5	1	Most people didn't live long enough to experience heart problems. When Penicillin was invented it helped save and extend lives. However resistance to the antibiotics is growing and there are now super bugs that barely respond to any antibiotics if they do actually respond. These can potentially wipe out most of the city of New York.	chain	0.4442390203475952	0.024461446329951286	0.5312995314598083
6	2	People in the past didn't die of cancer because they didn't live long enough to get it. Before antibiotics, people would die quickly of infection. The invention of penicillin has saved many lives, including 12-15% of the allies in WW1. Now, penicillin is overused, creating resistant bacteria known as superbugs. People should try to limit antibiotic use.	chain	0.950674831867218	0.025362787768244743	0.02396237477660179
7	0	few decades back, people died of various reasons but not of cancer or heart disease. later antibiotics were found to cure the infections. by then the virus or bacterial agents reacted to the antibiotics and the diseases were cured. but now the foreign particles developed resistance to the antibiotics and day by day the medicines are becoming helpless and new diseases are being diagnosed.so, if we take concern for these changes like buying chicken or fruit raised with antibiotic use we could slow down the arrival of the post-antibiotic world.so, we have to take the responsibility for the climate change and other perspectives affecting the environment	chain	0.642938494682312	0.3355610966682434	0.021500414237380028
8	0	"Through history, most people didn't die of cancer or hear disease, the lifestyle diseases that are common in the Western world today. This is mostly because people didn't live long enough to develop them. They died of injuries -- being gored by an ox, shot on a battlefield, crushed in one of the new factories of the Industrial revolution -- and most of the time from infection, which followed those injuries.

That changed when antibiotics were discovered. In 1928 Alexander Fleming discovered penicillin, a drug still used today to fight bacterial infections.

...
For 70 years, we played a game of leapfrog-- out drug and their resistance, and then another drugs, and then resistance again -- and now the game is ending, Bacteria develop resistance so quickly that pharameutical companies have decided making antibiotics is not in their best interest


If we did those things, we could slow down the arrival of the post-antibotic world."	chain	0.9817700982093811	0.0	0.0
9	0	"Up until recent history most human deaths weren't from causes that are common today. They mainly died from physical injury, mostly from infection caused by them. Upon the discovery of antibiotics in the 1920s this all changed. For a while this worked incredibly well. Now things are looking down. The bugs that cause these infections are becoming more and more resistant to antibiotics. We've been playing a game of ""leapfrog"" ever since the discovery of antibiotics. We'd find an antibiotic that would work, the bacteria would evolve so that it was resistant to it, then we'd discover a way to fight the resistant bacteria, rinse and repeat. Projected statistics say that by the year 2050 people will die at a rate of 10 million per year due to our inability to fight bacterial infections. That is more people than the current population of New York. There are ways we could slow this down, but it seems inevitable."	chain	0.7294558882713318	0.2587737739086151	0.011770307086408138
